Academics Plus School District,12345,default, Grade One Reading Comprehension ,2014-2015,,74,52
Academics Plus School District,12345,default, Grade Five Science ,2015-2016,,---,---
Academics Plus School District,12345,default, Grade Five Science ,2016-2017,,---,---
Academics Plus School District,12345,default, Grade Six Reading ,2014-2015,,---,---
Academics Plus School District,12345,default, Grade Six Reading ,2015-2016,,---,---
Academics Plus School District,12345,default, Grade Six Reading ,2016-2017,,---,---
Academics Plus School District,12345,default, Grade Six Math ,2014-2015,,---,---
Academics Plus School District,12345,default, Grade Six Math ,2015-2016,,---,---
Academics Plus School District,12345,default, Grade Six Math ,2016-2017,,---,---
Academics Plus School District,12345,default, Grade Seven Reading ,2014-2015,,---,---
Academics Plus School District,12345,default, Grade Seven Reading ,2015-2016,,---,---
Academics Plus School District,12345,default, Grade Seven Reading ,2016-2017,,---,---
Academics Plus School District,12345,default, Grade Seven Math ,2014-2015,,---,---
Academics Plus School District,12345,default, Grade Seven Math ,2015-2016,,---,---
Academics Plus School District,12345,default, Grade Seven Math ,2016-2017,,---,---
Academics Plus School District,12345,default, Grade Seven Science ,2014-2015,,---,---
Academics Plus School District,12345,default, Grade Seven Science ,2015-2016,,---,---
Academics Plus School District,12345,default, Grade Seven Science ,2016-2017,,---,---
Academics Plus School District,12345,default, Grade Eight Reading ,2014-2015,,---,---
Academics Plus School District,12345,default, Grade Eight Reading ,2015-2016,,---,---
Academics Plus School District,12345,default, Grade Eight Reading ,2016-2017,,---,---
Academics Plus School District,12345,default, Grade Eight Math ,2014-2015,,---,---
Academics Plus School District,12345,default, Grade Eight Math ,2015-2016,,---,---
Academics Plus School District,12345,default, Grade Eight Math ,2016-2017,,---,---
Academics Plus School District,12345,default, Grade Nine Reading Comprehension ,2014-2015,,---,---
Academics Plus School District,12345,default, Grade Nine Reading Comprehension ,2015-2016,,---,---
Academics Plus School District,12345,default, Grade Nine Reading Comprehension ,2016-2017,,---,---
Academics Plus School District,12345,default, Grade Nine Math Concepts and Problems ,2014-2015,,---,---
Academics Plus School District,12345,default, Grade Nine Math Concepts and Problems ,2015-2016,,---,---
Academics Plus School District,12345,default, Grade Nine Math Concepts and Problems ,2016-2017,,---,---
Academics Plus School District,12345,default,American College Test (ACT) ,2014-2015,,,
Academics Plus School District,12345,default,American College Test (ACT) ,2015-2016,,,
Academics Plus School District,12345,default,American College Test (ACT) ,2016-2017,,,
Academics Plus School District,12345,default, Participation in Grade 11 Statewide ACT Administration ,2014-2015,,,
Academics Plus School District,12345,default, Participation in Grade 11 Statewide ACT Administration ,2015-2016,,29,31,152
Academics Plus School District,12345,default, Participation in Grade 11 Statewide ACT Administration ,2016-2017,,39,31,268
Academics Plus School District,12345,default, Number of Students Taking Universal ACT ,2014-2015,,,8,790
Academics Plus School District,12345,default, Number of Students Taking Universal ACT ,2015-2016,,,
Academics Plus School District,12345,default, Number of Students Taking Universal ACT ,2016-2017,,,
Academics Plus School District,12345,default, District Provided Remediation for Students Taking Universal ACT ,2014-2015,,---,73
Academics Plus School District,12345,default, District Provided Remediation for Students Taking Universal ACT ,2015-2016,,---,0
Academics Plus School District,12345,default, District Provided Remediation for Students Taking Universal ACT ,2016-2017,,---,0
Academics Plus School District,12345,default, * Number of Students in College and Career Readiness Planning Program (CCRPP) ,2014-2015,,---,2,014
Academics Plus School District,12345,default, * Number of Students in College and Career Readiness Planning Program (CCRPP) ,2015-2016,,---,2,331
Academics Plus School District,12345,default, * Number of Students in College and Career Readiness Planning Program (CCRPP) ,2016-2017,,---,---
Academics Plus School District,12345,default, Number of Students Taking ACT in Grades 9-11 ,2014-2015,,35,27,271
Academics Plus School District,12345,default, Number of Students Taking ACT in Grades 9-11 ,2015-2016,,72,39,564
Academics Plus School District,12345,default, Number of Students Taking ACT in Grades 9-11 ,2016-2017,,63,39,627
Academics Plus School District,12345,default, Number of Graduates that have taken ACT in High School ,2014-2015,,29,23,364
Academics Plus School District,12345,default, Number of Graduates that have taken ACT in High School ,2015-2016,,26,23,966
Academics Plus School District,12345,default, Number of Graduates that have taken ACT in High School ,2016-2017,,26,28,938
Academics Plus School District,12345,default, ACT Reading ,2014-2015,,22.48,21.35
Academics Plus School District,12345,default, ACT Reading ,2015-2016,,23.69,21.29
Academics Plus School District,12345,default, ACT Reading ,2016-2017,,22.77,20.39
Academics Plus School District,12345,default, ACT English ,2014-2015,,21.59,20.16
Academics Plus School District,12345,default, ACT English ,2015-2016,,22.23,20.06
Academics Plus School District,12345,default, ACT English ,2016-2017,,20.85,19.23
Academics Plus School District,12345,default, ACT Mathematics ,2014-2015,,19.41,20.14
Academics Plus School District,12345,default, ACT Mathematics ,2015-2016,,19.96,19.86
Academics Plus School District,12345,default, ACT Mathematics ,2016-2017,,19.35,19.31
Academics Plus School District,12345,default, ACT Science ,2014-2015,,20.69,20.85
Academics Plus School District,12345,default, ACT Science ,2015-2016,,22.62,20.71
Academics Plus School District,12345,default, ACT Science ,2016-2017,,21.35,20.15
Academics Plus School District,12345,default, ACT Composite ,2014-2015,,21.21,20.79
Academics Plus School District,12345,default, ACT Composite ,2015-2016,,22.27,20.64
Academics Plus School District,12345,default, ACT Composite ,2016-2017,,21.15,19.93
Academics Plus School District,12345,default,SAT® by College Board ,2014-2015,,,
Academics Plus School District,12345,default,SAT® by College Board ,2015-2016,,,
Academics Plus School District,12345,default,SAT® by College Board ,2016-2017,,,
Academics Plus School District,12345,default, Number of Students Taking SAT College Admission Test ,2014-2015,,3,952
Academics Plus School District,12345,default, Number of Students Taking SAT College Admission Test ,2015-2016,,3,852
Academics Plus School District,12345,default, Number of Students Taking SAT College Admission Test ,2016-2017,,2,1,344
Academics Plus School District,12345,default, SAT Critical Reading Mean ,2014-2015,,RV,565
Academics Plus School District,12345,default, SAT Critical Reading Mean ,2015-2016,,RV,569
Academics Plus School District,12345,default, SAT Critical Reading Mean ,2016-2017,,RV,593
Academics Plus School District,12345,default, SAT Math Mean ,2014-2015,,RV,568
Academics Plus School District,12345,default, SAT Math Mean ,2015-2016,,RV,569
Academics Plus School District,12345,default, SAT Math Mean ,2016-2017,,RV,574
Academics Plus School District,12345,default, SAT Writing Mean ,2014-2015,,RV,547
Academics Plus School District,12345,default, SAT Writing Mean ,2015-2016,,RV,550
Academics Plus School District,12345,default, SAT Writing Mean ,2016-2017,,RV,
Academics Plus School District,12345,default,Advanced Placement Courses (AP) ,2014-2015,,,
Academics Plus School District,12345,default,Advanced Placement Courses (AP) ,2015-2016,,,
Academics Plus School District,12345,default,Advanced Placement Courses (AP) ,2016-2017,,,
Academics Plus School District,12345,default, Number of Students Taking Advanced Placement (AP) Courses ,2014-2015,,57,27,646
Academics Plus School District,12345,default, Number of Students Taking Advanced Placement (AP) Courses ,2015-2016,,55,27,827
Academics Plus School District,12345,default, Number of Students Taking Advanced Placement (AP) Courses ,2016-2017,,55,29,109
Academics Plus School District,12345,default, Number of AP Exams Taken ,2014-2015,,,44,951
Academics Plus School District,12345,default, Number of AP Exams Taken ,2015-2016,,70,46,094
Academics Plus School District,12345,default, Number of AP Exams Taken ,2016-2017,,84,46,686
Academics Plus School District,12345,default, Number of AP Exams Scored 3, 4, or 5 ,2014-2015,,,14,391
Academics Plus School District,12345,default, Number of AP Exams Scored 3, 4, or 5 ,2015-2016,,13,15,079
Academics Plus School District,12345,default, Number of AP Exams Scored 3, 4, or 5 ,2016-2017,,16,15,812
Academics Plus School District,12345,default, Number of Students Taking International Baccalaureate Courses ,2014-2015,,---,1,328
Academics Plus School District,12345,default, Number of Students Taking International Baccalaureate Courses ,2015-2016,,---,573
Academics Plus School District,12345,default, Number of Students Taking International Baccalaureate Courses ,2016-2017,,---,569
Academics Plus School District,12345,default,College Going Rate ,2014-2015,,,
Academics Plus School District,12345,default,College Going Rate ,2015-2016,,,
Academics Plus School District,12345,default,College Going Rate ,2016-2017,,,
Academics Plus School District,12345,default, All Students ,2014-2015,,70.0 %,55.3 %
Academics Plus School District,12345,default, All Students ,2015-2016,,60.7 %,50.5 %
Academics Plus School District,12345,default, All Students ,2016-2017,,76.0 %,48.2 %
Academics Plus School District,12345,default, African American ,2014-2015,,55.6 %,54.2 %
Academics Plus School District,12345,default, African American ,2015-2016,,57.1 %,46.7 %
Academics Plus School District,12345,default, African American ,2016-2017,,75.0 %,40.3 %
Academics Plus School District,12345,default, Hispanic ,2014-2015,,0.0 %,39.5 %
Academics Plus School District,12345,default, Hispanic ,2015-2016,,50.0 %,38.9 %
Academics Plus School District,12345,default, Hispanic ,2016-2017,,0.0 %,39.5 %
Academics Plus School District,12345,default, Caucasian ,2014-2015,,75.0 %,58.3 %
Academics Plus School District,12345,default, Caucasian ,2015-2016,,63.2 %,53.7 %
Academics Plus School District,12345,default, Caucasian ,2016-2017,,79.0 %,52.3 %
Academics Plus School District,12345,default, Economically Disadvantaged ,2014-2015,,87.5 %,46.9 %
Academics Plus School District,12345,default, Economically Disadvantaged ,2015-2016,,66.7 %,42.3 %
Academics Plus School District,12345,default, Economically Disadvantaged ,2016-2017,,100.0 %,39.3 %
Academics Plus School District,12345,default, Students with Disabilities ,2014-2015,,0.0 %,22.4 %
Academics Plus School District,12345,default, Students with Disabilities ,2015-2016,,0.0 %,20.1 %
Academics Plus School District,12345,default, Students with Disabilities ,2016-2017,,66.7 %,19.4 %
Academics Plus School District,12345,default, Limited English Proficient ,2014-2015,,0.0 %,30.2 %
Academics Plus School District,12345,default, Limited English Proficient ,2015-2016,,0.0 %,31.4 %
Academics Plus School District,12345,default, Limited English Proficient ,2016-2017,,0.0 %,23.4 %
Academics Plus School District,12345,default,College Credit Accumulation Rate ,2014-2015,,,
Academics Plus School District,12345,default,College Credit Accumulation Rate ,2015-2016,,,
Academics Plus School District,12345,default,College Credit Accumulation Rate ,2016-2017,,,
Academics Plus School District,12345,default, All Students ,2014-2015,,33.3 %,35.1 %
Academics Plus School District,12345,default, All Students ,2015-2016,,0.0 %,1.2 %
Academics Plus School District,12345,default, All Students ,2016-2017,,50.0 %,54.1 %
Academics Plus School District,12345,default, African American ,2014-2015,,0.0 %,19.8 %
Academics Plus School District,12345,default, African American ,2015-2016,,0.0 %,0.3 %
Academics Plus School District,12345,default, African American ,2016-2017,,25.0 %,37.9 %
Academics Plus School District,12345,default, Hispanic ,2014-2015,,0.0 %,29.5 %
Academics Plus School District,12345,default, Hispanic ,2015-2016,,0.0 %,1.0 %
Academics Plus School District,12345,default, Hispanic ,2016-2017,,100.0 %,48.4 %
Academics Plus School District,12345,default, Caucasian ,2014-2015,,40.0 %,39.8 %
Academics Plus School District,12345,default, Caucasian ,2015-2016,,0.0 %,1.4 %
Academics Plus School District,12345,default, Caucasian ,2016-2017,,53.9 %,59.3 %
Academics Plus School District,12345,default, Economically Disadvantaged ,2014-2015,,28.6 %,24.9 %
Academics Plus School District,12345,default, Economically Disadvantaged ,2015-2016,,0.0 %,1.0 %
Academics Plus School District,12345,default, Economically Disadvantaged ,2016-2017,,25.0 %,42.4 %
Academics Plus School District,12345,default, Students with Disabilities ,2014-2015,,0.0 %,11.7 %
Academics Plus School District,12345,default, Students with Disabilities ,2015-2016,,0.0 %,0.0 %
Academics Plus School District,12345,default, Students with Disabilities ,2016-2017,,0.0 %,24.8 %
Academics Plus School District,12345,default, Limited English Proficient ,2014-2015,,0.0 %,21.1 %
Academics Plus School District,12345,default, Limited English Proficient ,2015-2016,,0.0 %,0.4 %
Academics Plus School District,12345,default, Limited English Proficient ,2016-2017,,0.0 %,39.4 %
Academics Plus School District,12345,default,Arkansas ESEA Accountability ,2014-2015,,,
Academics Plus School District,12345,default,Arkansas ESEA Accountability ,2015-2016,,,
Academics Plus School District,12345,default,Arkansas ESEA Accountability ,2016-2017,,,
Academics Plus School District,12345,default, Needs Improvement ,2014-2015,,1,834
Academics Plus School District,12345,default, Needs Improvement ,2015-2016,,1,827
Academics Plus School District,12345,default, Needs Improvement ,2016-2017,,0,0
Academics Plus School District,12345,default, Needs Improvement Priority ,2014-2015,,0,46
Academics Plus School District,12345,default, Needs Improvement Priority ,2015-2016,,0,42
Academics Plus School District,12345,default, Needs Improvement Priority ,2016-2017,,0,0
Academics Plus School District,12345,default, Needs Improvement Priority Met Year 1 Exit Criteria ,2014-2015,,0,3
Academics Plus School District,12345,default, Needs Improvement Priority Met Year 1 Exit Criteria ,2015-2016,,0,2
Academics Plus School District,12345,default, Needs Improvement Priority Met Year 1 Exit Criteria ,2016-2017,,0,0
Academics Plus School District,12345,default, Needs Improvement Focus ,2014-2015,,0,103
Academics Plus School District,12345,default, Needs Improvement Focus ,2015-2016,,0,87
Academics Plus School District,12345,default, Needs Improvement Focus ,2016-2017,,0,0
Academics Plus School District,12345,default, Needs Improvement Focus Met Year 1 Exit Criteria ,2014-2015,,0,31
Academics Plus School District,12345,default, Needs Improvement Focus Met Year 1 Exit Criteria ,2015-2016,,0,11
Academics Plus School District,12345,default, Needs Improvement Focus Met Year 1 Exit Criteria ,2016-2017,,0,0
Academics Plus School District,12345,default, Achieving ,2014-2015,,1,73
Academics Plus School District,12345,default, Achieving ,2015-2016,,1,91
Academics Plus School District,12345,default, Achieving ,2016-2017,,0,0
Academics Plus School District,12345,default, Exemplary ,2014-2015,,0,0
Academics Plus School District,12345,default, Exemplary ,2015-2016,,0,0
Academics Plus School District,12345,default, Exemplary ,2016-2017,,0,0
Academics Plus School District,12345,default,School Rating ,2014-2015,,,
Academics Plus School District,12345,default,School Rating ,2015-2016,,,
Academics Plus School District,12345,default,School Rating ,2016-2017,,,
Academics Plus School District,12345,default,2015 School Performance Rating,2014-2015,,,
Academics Plus School District,12345,default,2015 School Performance Rating,2015-2016,,,
Academics Plus School District,12345,default,2015 School Performance Rating,2016-2017,,,
Academics Plus School District,12345,default, Overall Points for School Rating ,2014-2015,,,
Academics Plus School District,12345,default, Overall Points for School Rating ,2015-2016,,,
Academics Plus School District,12345,default, Overall Points for School Rating ,2016-2017,,,
Academics Plus School District,12345,default, Count of Schools with Rating = A ( 270 - 300 Points ),2014-2015,,0,10
Academics Plus School District,12345,default, Count of Schools with Rating = A ( 270 - 300 Points ),2015-2016,,,
Academics Plus School District,12345,default, Count of Schools with Rating = A ( 270 - 300 Points ),2016-2017,,,
Academics Plus School District,12345,default, Count of Schools with Rating = B ( 240 - 269 Points ),2014-2015,,1,224
Academics Plus School District,12345,default, Count of Schools with Rating = B ( 240 - 269 Points ),2015-2016,,,
Academics Plus School District,12345,default, Count of Schools with Rating = B ( 240 - 269 Points ),2016-2017,,,
Academics Plus School District,12345,default, Count of Schools with Rating = C ( 210 - 239 Points ),2014-2015,,1,564
Academics Plus School District,12345,default, Count of Schools with Rating = C ( 210 - 239 Points ),2015-2016,,,
Academics Plus School District,12345,default, Count of Schools with Rating = C ( 210 - 239 Points ),2016-2017,,,
Academics Plus School District,12345,default, Count of Schools with Rating = D ( 180 - 209 Points ),2014-2015,,0,228
Academics Plus School District,12345,default, Count of Schools with Rating = D ( 180 - 209 Points ),2015-2016,,,
Academics Plus School District,12345,default, Count of Schools with Rating = D ( 180 - 209 Points ),2016-2017,,,
Academics Plus School District,12345,default, Count of Schools with Rating = F ( Less than 180 Points ),2014-2015,,0,19
Academics Plus School District,12345,default, Count of Schools with Rating = F ( Less than 180 Points ),2015-2016,,,
Academics Plus School District,12345,default, Count of Schools with Rating = F ( Less than 180 Points ),2016-2017,,,
Academics Plus School District,12345,default,2017 School Performance Rating,2014-2015,,,
Academics Plus School District,12345,default,2017 School Performance Rating,2015-2016,,,
Academics Plus School District,12345,default,2017 School Performance Rating,2016-2017,,,
Academics Plus School District,12345,default, Overall Points for School Rating ,2014-2015,,,
Academics Plus School District,12345,default, Overall Points for School Rating ,2015-2016,,,
Academics Plus School District,12345,default, Overall Points for School Rating ,2016-2017,,,
Academics Plus School District,12345,default, Count of Schools with Rating = A ,2014-2015,,,
Academics Plus School District,12345,default, Count of Schools with Rating = A ,2015-2016,,,
Academics Plus School District,12345,default, Count of Schools with Rating = A ,2016-2017,,2,163
Academics Plus School District,12345,default, Count of Schools with Rating = B ,2014-2015,,,
Academics Plus School District,12345,default, Count of Schools with Rating = B ,2015-2016,,,
Academics Plus School District,12345,default, Count of Schools with Rating = B ,2016-2017,,0,290
Academics Plus School District,12345,default, Count of Schools with Rating = C ,2014-2015,,,
Academics Plus School District,12345,default, Count of Schools with Rating = C ,2015-2016,,,
Academics Plus School District,12345,default, Count of Schools with Rating = C ,2016-2017,,1,384
Academics Plus School District,12345,default, Count of Schools with Rating = D ,2014-2015,,,
Academics Plus School District,12345,default, Count of Schools with Rating = D ,2015-2016,,,
Academics Plus School District,12345,default, Count of Schools with Rating = D ,2016-2017,,0,170
Academics Plus School District,12345,default, Count of Schools with Rating = F ,2014-2015,,,
Academics Plus School District,12345,default, Count of Schools with Rating = F ,2015-2016,,,
Academics Plus School District,12345,default, Count of Schools with Rating = F ,2016-2017,,0,33
Academics Plus School District,12345,default,District Provides Textbooks or Digital Resources for all Pupils ,2014-2015,,,
Academics Plus School District,12345,default,District Provides Textbooks or Digital Resources for all Pupils ,2015-2016,,,
Academics Plus School District,12345,default,District Provides Textbooks or Digital Resources for all Pupils ,2016-2017,,,
Academics Plus School District,12345,default, District Provides Textbooks or Digital Resources for all Pupils ,2014-2015,, Y , 100 % 
Academics Plus School District,12345,default, District Provides Textbooks or Digital Resources for all Pupils ,2015-2016,, Y , 100 % 
Academics Plus School District,12345,default, District Provides Textbooks or Digital Resources for all Pupils ,2016-2017,, Y , 100 % 
Academics Plus School District,12345,default,Annual Accreditation Status ,2014-2015,,,
Academics Plus School District,12345,default,Annual Accreditation Status ,2015-2016,,,
Academics Plus School District,12345,default,Annual Accreditation Status ,2016-2017,,,
Academics Plus School District,12345,default, Annual Accreditation Status Accredited ,2014-2015,,2,784
Academics Plus School District,12345,default, Annual Accreditation Status Accredited ,2015-2016,,2,800
Academics Plus School District,12345,default, Annual Accreditation Status Accredited ,2016-2017,,3,796
Academics Plus School District,12345,default, Accredited-Cited ,2014-2015,,0,261
Academics Plus School District,12345,default, Accredited-Cited ,2015-2016,,0,245
Academics Plus School District,12345,default, Accredited-Cited ,2016-2017,,0,253
Academics Plus School District,12345,default, Accredited-Probationary ,2014-2015,,0,21
Academics Plus School District,12345,default, Accredited-Probationary ,2015-2016,,0,10
Academics Plus School District,12345,default, Accredited-Probationary ,2016-2017,,0,11
Academics Plus School District,12345,default,Attendance Rate (*State Goal 91.13%) ,2014-2015,,,
Academics Plus School District,12345,default,Attendance Rate (*State Goal 91.13%) ,2015-2016,,,
Academics Plus School District,12345,default,Attendance Rate (*State Goal 91.13%) ,2016-2017,,,
Academics Plus School District,12345,default, Attendance Rate Combined ,2014-2015,,96.6 %,94.4 %
Academics Plus School District,12345,default, Attendance Rate Combined ,2015-2016,,96.9 %,94.5 %
Academics Plus School District,12345,default, Attendance Rate Combined ,2016-2017,,95.9 %,94.4 %
Academics Plus School District,12345,default, Attendance Rate for Targeted Acheivement Gap Group ,2014-2015,,96.8 %,94.6 %
Academics Plus School District,12345,default, Attendance Rate for Targeted Acheivement Gap Group ,2015-2016,,97.3 %,94.7 %
Academics Plus School District,12345,default, Attendance Rate for Targeted Acheivement Gap Group ,2016-2017,,95.8 %,94.7 %
Academics Plus School District,12345,default, Attendance Rate African American ,2014-2015,,96.6 %,94.5 %
Academics Plus School District,12345,default, Attendance Rate African American ,2015-2016,,96.6 %,94.3 %
Academics Plus School District,12345,default, Attendance Rate African American ,2016-2017,,95.5 %,94.4 %
Academics Plus School District,12345,default, Attendance Rate Hispanic ,2014-2015,,96.1 %,95.0 %
Academics Plus School District,12345,default, Attendance Rate Hispanic ,2015-2016,,95.9 %,95.0 %
Academics Plus School District,12345,default, Attendance Rate Hispanic ,2016-2017,,95.4 %,94.8 %
Academics Plus School District,12345,default, Attendance Rate Caucasian ,2014-2015,,96.7 %,94.2 %
Academics Plus School District,12345,default, Attendance Rate Caucasian ,2015-2016,,97.2 %,94.3 %
Academics Plus School District,12345,default, Attendance Rate Caucasian ,2016-2017,,95.9 %,94.4 %
Academics Plus School District,12345,default, Attendance Rate Economically Disadvantaged ,2014-2015,,96.6 %,94.8 %
Academics Plus School District,12345,default, Attendance Rate Economically Disadvantaged ,2015-2016,,97.0 %,94.9 %
Academics Plus School District,12345,default, Attendance Rate Economically Disadvantaged ,2016-2017,,95.8 %,95.0 %
Academics Plus School District,12345,default, Attendance Rate Students with Disabilities ,2014-2015,,97.2 %,94.1 %
Academics Plus School District,12345,default, Attendance Rate Students with Disabilities ,2015-2016,,97.8 %,94.3 %
Academics Plus School District,12345,default, Attendance Rate Students with Disabilities ,2016-2017,,95.6 %,94.2 %
Academics Plus School District,12345,default, Attendance Rate Limited English Proficient ,2014-2015,,94.3 %,95.4 %
Academics Plus School District,12345,default, Attendance Rate Limited English Proficient ,2015-2016,,97.7 %,95.3 %
Academics Plus School District,12345,default, Attendance Rate Limited English Proficient ,2016-2017,,100.0 %,94.9 %
Academics Plus School District,12345,default,Dropout Rate ,2014-2015,,,
Academics Plus School District,12345,default,Dropout Rate ,2015-2016,,,
Academics Plus School District,12345,default,Dropout Rate ,2016-2017,,,
Academics Plus School District,12345,default, Dropout Rate ,2014-2015,,1.68 %,2.25 %
Academics Plus School District,12345,default, Dropout Rate ,2015-2016,,0.35 %,2.32 %
Academics Plus School District,12345,default, Dropout Rate ,2016-2017,,0.65 %,2.32 %
Academics Plus School District,12345,default,Four-Year Graduation Rate ,2014-2015,,,
Academics Plus School District,12345,default,Four-Year Graduation Rate ,2015-2016,,,
Academics Plus School District,12345,default,Four-Year Graduation Rate ,2016-2017,,,
Academics Plus School District,12345,default, Four-Year Graduation Rate Combined ,2014-2015,,96.8 %,84.9 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Combined ,2015-2016,,96.7 %,87.0 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Combined ,2016-2017,,100.0 %,88.0 %
Academics Plus School District,12345,default, Four-Year Graduation Rate for Targeted Acheivement Gap Group ,2014-2015,,RV,81.9 %
Academics Plus School District,12345,default, Four-Year Graduation Rate for Targeted Acheivement Gap Group ,2015-2016,,RV,83.8 %
Academics Plus School District,12345,default, Four-Year Graduation Rate for Targeted Acheivement Gap Group ,2016-2017,,RV,84.8 %
Academics Plus School District,12345,default, Four-Year Graduation Rate African American ,2014-2015,,RV,77.5 %
Academics Plus School District,12345,default, Four-Year Graduation Rate African American ,2015-2016,,RV,81.5 %
Academics Plus School District,12345,default, Four-Year Graduation Rate African American ,2016-2017,,RV,83.4 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Hispanic ,2014-2015,,RV,84.5 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Hispanic ,2015-2016,,RV,85.7 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Hispanic ,2016-2017,,RV,85.7 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Caucasian ,2014-2015,,95.2 %,87.4 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Caucasian ,2015-2016,,95.2 %,89.2 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Caucasian ,2016-2017,,100.0 %,90.0 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Economically Disadvantaged ,2014-2015,,RV,81.7 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Economically Disadvantaged ,2015-2016,,RV,83.8 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Economically Disadvantaged ,2016-2017,,RV,84.9 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Students with Disabilities ,2014-2015,,RV,81.9 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Students with Disabilities ,2015-2016,,RV,84.3 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Students with Disabilities ,2016-2017,,RV,83.8 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Limited English Proficient ,2014-2015,,RV,85.9 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Limited English Proficient ,2015-2016,,RV,85.7 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Limited English Proficient ,2016-2017,,RV,82.1 %
Academics Plus School District,12345,default,Five-Year Graduation Rate ,2014-2015,,,
Academics Plus School District,12345,default,Five-Year Graduation Rate ,2015-2016,,,
Academics Plus School District,12345,default,Five-Year Graduation Rate ,2016-2017,,,
Academics Plus School District,12345,default, Five-Year Graduation Rate Combined ,2014-2015,,---,---
Academics Plus School District,12345,default, Five-Year Graduation Rate Combined ,2015-2016,,---,---
Academics Plus School District,12345,default, Five-Year Graduation Rate Combined ,2016-2017,,90.6 %,87.4 %
Academics Plus School District,12345,default, Five-Year Graduation Rate for Targeted Acheivement Gap Group ,2014-2015,,---,---
Academics Plus School District,12345,default, Five-Year Graduation Rate for Targeted Acheivement Gap Group ,2015-2016,,---,---
Academics Plus School District,12345,default, Five-Year Graduation Rate for Targeted Acheivement Gap Group ,2016-2017,,RV,84.4 %
Academics Plus School District,12345,default, Five-Year Graduation Rate African American ,2014-2015,,---,---
Academics Plus School District,12345,default, Five-Year Graduation Rate African American ,2015-2016,,---,---
Academics Plus School District,12345,default, Five-Year Graduation Rate African American ,2016-2017,,RV,82.1 %
Academics Plus School District,12345,default, Five-Year Graduation Rate Hispanic ,2014-2015,,---,---
Academics Plus School District,12345,default, Five-Year Graduation Rate Hispanic ,2015-2016,,---,---
Academics Plus School District,12345,default, Five-Year Graduation Rate Hispanic ,2016-2017,,RV,86.4 %
Academics Plus School District,12345,default, Five-Year Graduation Rate Caucasian ,2014-2015,,---,---
