Academics Plus School District,12345, 3rd Grade Literacy , All Students Percentage of Students ,2014-2015,12.31,35.39,47.69,4.62
Academics Plus School District,12345, 3rd Grade Math , Limited English Proficient ,2015-2016,---,---,---,---
Academics Plus School District,12345, 3rd Grade Math , Limited English Proficient ,2016-2017,---,---,---,---
Academics Plus School District,12345, 3rd Grade Math , Female ,2014-2015,0.00,53.57,39.29,7.14
Academics Plus School District,12345, 3rd Grade Math , Female ,2015-2016,3.13,25.00,46.88,25.00
Academics Plus School District,12345, 3rd Grade Math , Female ,2016-2017,57.33,4.55,18.18,50.00
Academics Plus School District,12345, 3rd Grade Math , Male ,2014-2015,7.89,57.89,28.95,5.26
Academics Plus School District,12345, 3rd Grade Math , Male ,2015-2016,0.00,20.51,46.15,33.33
Academics Plus School District,12345, 3rd Grade Math , Male ,2016-2017,55.05,6.25,25.00,37.50
Academics Plus School District,12345, 3rd Grade Math , Migrant ,2014-2015,---,---,---,---
Academics Plus School District,12345, 3rd Grade Math , Migrant ,2015-2016,---,---,---,---
Academics Plus School District,12345, 3rd Grade Math , Migrant ,2016-2017,---,---,---,---
Academics Plus School District,12345, 4th Grade Literacy , All Students Percentage of Students ,2014-2015,1.47,51.480000000000004,44.12,2.94
Academics Plus School District,12345, 4th Grade Literacy , All Students Percentage of Students ,2015-2016,23.29,20.55,20.55,35.62
Academics Plus School District,12345, 4th Grade Literacy , All Students Percentage of Students ,2016-2017,40.50,19.57,14.13,25.00
Academics Plus School District,12345, 4th Grade Literacy , All Students Number of Students ,2014-2015,,,,
Academics Plus School District,12345, 4th Grade Literacy , All Students Number of Students ,2015-2016,,,,
Academics Plus School District,12345, 4th Grade Literacy , All Students Number of Students ,2016-2017,,18,13,23
Academics Plus School District,12345, 4th Grade Literacy , TAGG ,2014-2015,3.85,73.07,19.23,3.85
Academics Plus School District,12345, 4th Grade Literacy , TAGG ,2015-2016,50.00,35.71,7.14,7.14
Academics Plus School District,12345, 4th Grade Literacy , TAGG ,2016-2017,30.82,32.35,17.65,26.47
Academics Plus School District,12345, 4th Grade Literacy , African American ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 4th Grade Literacy , African American ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 4th Grade Literacy , African American ,2016-2017,21.99,30.43,17.39,34.78
Academics Plus School District,12345, 4th Grade Literacy , Hispanic ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 4th Grade Literacy , Hispanic ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 4th Grade Literacy , Hispanic ,2016-2017,35.03,RV,RV,RV
Academics Plus School District,12345, 4th Grade Literacy , Caucasian ,2014-2015,1.82,49.09,45.45,3.64
Academics Plus School District,12345, 4th Grade Literacy , Caucasian ,2015-2016,20.69,17.24,24.14,37.93
Academics Plus School District,12345, 4th Grade Literacy , Caucasian ,2016-2017,47.25,18.03,13.11,22.95
Academics Plus School District,12345, 4th Grade Literacy , Economically Disadvantaged ,2014-2015,0.00,75,18.75,6.25
Academics Plus School District,12345, 4th Grade Literacy , Economically Disadvantaged ,2015-2016,40.00,50.00,0.00,10.00
Academics Plus School District,12345, 4th Grade Literacy , Economically Disadvantaged ,2016-2017,31.22,30.30,18.18,27.27
Academics Plus School District,12345, 4th Grade Literacy , Students with Disabilities ,2014-2015,6.67,80,13.33,0.00
Academics Plus School District,12345, 4th Grade Literacy , Students with Disabilities ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 4th Grade Literacy , Students with Disabilities ,2016-2017,14.44,RV,RV,RV
Academics Plus School District,12345, 4th Grade Literacy , Limited English Proficient ,2014-2015,---,---,---,---
Academics Plus School District,12345, 4th Grade Literacy , Limited English Proficient ,2015-2016,---,---,---,---
Academics Plus School District,12345, 4th Grade Literacy , Limited English Proficient ,2016-2017,---,---,---,---
Academics Plus School District,12345, 4th Grade Literacy ,Number of recently arrived LEP students not assessed in 4th Grade Literacy ,2014-2015,,---,---,
Academics Plus School District,12345, 4th Grade Literacy ,Number of recently arrived LEP students not assessed in 4th Grade Literacy ,2015-2016,,,,
Academics Plus School District,12345, 4th Grade Literacy ,Number of recently arrived LEP students not assessed in 4th Grade Literacy ,2016-2017,,,,
Academics Plus School District,12345, 4th Grade Literacy , Female ,2014-2015,0.00,53.33,40.00,6.67
Academics Plus School District,12345, 4th Grade Literacy , Female ,2015-2016,22.58,12.90,22.58,41.94
Academics Plus School District,12345, 4th Grade Literacy , Female ,2016-2017,45.71,13.04,17.39,26.09
Academics Plus School District,12345, 4th Grade Literacy , Male ,2014-2015,2.63,50,47.37,0.00
Academics Plus School District,12345, 4th Grade Literacy , Male ,2015-2016,23.81,26.19,19.05,30.95
Academics Plus School District,12345, 4th Grade Literacy , Male ,2016-2017,35.54,26.09,10.87,23.91
Academics Plus School District,12345, 4th Grade Literacy , Migrant ,2014-2015,---,---,---,---
Academics Plus School District,12345, 4th Grade Literacy , Migrant ,2015-2016,---,---,---,---
Academics Plus School District,12345, 4th Grade Literacy , Migrant ,2016-2017,---,---,---,---
Academics Plus School District,12345, 4th Grade Math , All Students Percentage of Students ,2014-2015,2.94,58.82,36.76,1.47
Academics Plus School District,12345, 4th Grade Math , All Students Percentage of Students ,2015-2016,2.74,19.18,50.68,27.40
Academics Plus School District,12345, 4th Grade Math , All Students Percentage of Students ,2016-2017,53.97,6.52,26.09,41.30
Academics Plus School District,12345, 4th Grade Math , All Students Number of Students ,2014-2015,,,,
Academics Plus School District,12345, 4th Grade Math , All Students Number of Students ,2015-2016,,,,
Academics Plus School District,12345, 4th Grade Math , All Students Number of Students ,2016-2017,,6,24,38
Academics Plus School District,12345, 4th Grade Math , TAGG ,2014-2015,7.69,61.540000000000006,30.77,0.00
Academics Plus School District,12345, 4th Grade Math , TAGG ,2015-2016,14.29,42.86,42.86,0.00
Academics Plus School District,12345, 4th Grade Math , TAGG ,2016-2017,44.95,17.65,35.29,29.41
Academics Plus School District,12345, 4th Grade Math , African American ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 4th Grade Math , African American ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 4th Grade Math , African American ,2016-2017,32.92,17.39,43.48,34.78
Academics Plus School District,12345, 4th Grade Math , Hispanic ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 4th Grade Math , Hispanic ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 4th Grade Math , Hispanic ,2016-2017,46.72,RV,RV,RV
Academics Plus School District,12345, 4th Grade Math , Caucasian ,2014-2015,3.64,60,34.55,1.82
Academics Plus School District,12345, 4th Grade Math , Caucasian ,2015-2016,1.72,15.52,56.90,25.86
Academics Plus School District,12345, 4th Grade Math , Caucasian ,2016-2017,61.90,3.28,22.95,42.62
Academics Plus School District,12345, 4th Grade Math , Economically Disadvantaged ,2014-2015,6.25,62.5,31.25,0.00
Academics Plus School District,12345, 4th Grade Math , Economically Disadvantaged ,2015-2016,0.00,60.00,40.00,0.00
Academics Plus School District,12345, 4th Grade Math , Economically Disadvantaged ,2016-2017,45.52,15.15,36.36,30.30
Academics Plus School District,12345, 4th Grade Math , Students with Disabilities ,2014-2015,6.67,73.33,20.00,0.00
Academics Plus School District,12345, 4th Grade Math , Students with Disabilities ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 4th Grade Math , Students with Disabilities ,2016-2017,22.57,RV,RV,RV
Academics Plus School District,12345, 4th Grade Math , Limited English Proficient ,2014-2015,---,---,---,---
Academics Plus School District,12345, 4th Grade Math , Limited English Proficient ,2015-2016,---,---,---,---
Academics Plus School District,12345, 4th Grade Math , Limited English Proficient ,2016-2017,---,---,---,---
Academics Plus School District,12345, 4th Grade Math , Female ,2014-2015,0.00,66.66,33.33,0.00
Academics Plus School District,12345, 4th Grade Math , Female ,2015-2016,0.00,22.58,41.94,35.48
Academics Plus School District,12345, 4th Grade Math , Female ,2016-2017,55.27,4.35,23.91,41.30
Academics Plus School District,12345, 4th Grade Math , Male ,2014-2015,5.26,52.629999999999995,39.47,2.63
Academics Plus School District,12345, 4th Grade Math , Male ,2015-2016,4.76,16.67,57.14,21.43
Academics Plus School District,12345, 4th Grade Math , Male ,2016-2017,52.72,8.70,28.26,41.30
Academics Plus School District,12345, 4th Grade Math , Migrant ,2014-2015,---,---,---,---
Academics Plus School District,12345, 4th Grade Math , Migrant ,2015-2016,---,---,---,---
Academics Plus School District,12345, 4th Grade Math , Migrant ,2016-2017,---,---,---,---
Academics Plus School District,12345, 5th Grade Literacy , All Students Percentage of Students ,2014-2015,3.03,45.45,45.45,6.06
Academics Plus School District,12345, 5th Grade Literacy , All Students Percentage of Students ,2015-2016,15.07,21.92,24.66,38.36
Academics Plus School District,12345, 5th Grade Literacy , All Students Percentage of Students ,2016-2017,50.47,11.34,31.96,17.53
Academics Plus School District,12345, 5th Grade Literacy , All Students Number of Students ,2014-2015,,,,
Academics Plus School District,12345, 5th Grade Literacy , All Students Number of Students ,2015-2016,,,,
Academics Plus School District,12345, 5th Grade Literacy , All Students Number of Students ,2016-2017,,11,31,17
Academics Plus School District,12345, 5th Grade Literacy , TAGG ,2014-2015,10.00,60,30.00,0.00
Academics Plus School District,12345, 5th Grade Literacy , TAGG ,2015-2016,28.57,28.57,3.57,39.29
Academics Plus School District,12345, 5th Grade Literacy , TAGG ,2016-2017,39.77,40.00,36.00,12.00
Academics Plus School District,12345, 5th Grade Literacy , African American ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 5th Grade Literacy , African American ,2015-2016,20.00,50.00,10.00,20.00
Academics Plus School District,12345, 5th Grade Literacy , African American ,2016-2017,31.03,28.57,42.86,7.14
Academics Plus School District,12345, 5th Grade Literacy , Hispanic ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 5th Grade Literacy , Hispanic ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 5th Grade Literacy , Hispanic ,2016-2017,41.83,RV,RV,RV
Academics Plus School District,12345, 5th Grade Literacy , Caucasian ,2014-2015,0.00,41.17,52.94,5.88
Academics Plus School District,12345, 5th Grade Literacy , Caucasian ,2015-2016,15.09,20.75,28.30,35.85
Academics Plus School District,12345, 5th Grade Literacy , Caucasian ,2016-2017,58.09,8.33,30.56,18.06
Academics Plus School District,12345, 5th Grade Literacy , Economically Disadvantaged ,2014-2015,13.33,53.34,33.33,0.00
Academics Plus School District,12345, 5th Grade Literacy , Economically Disadvantaged ,2015-2016,23.81,33.33,0.00,42.86
Academics Plus School District,12345, 5th Grade Literacy , Economically Disadvantaged ,2016-2017,40.64,27.78,44.44,11.11
Academics Plus School District,12345, 5th Grade Literacy , Students with Disabilities ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 5th Grade Literacy , Students with Disabilities ,2015-2016,63.64,9.09,9.09,18.18
Academics Plus School District,12345, 5th Grade Literacy , Students with Disabilities ,2016-2017,14.08,81.82,9.09,9.09
Academics Plus School District,12345, 5th Grade Literacy , Limited English Proficient ,2014-2015,---,---,---,---
Academics Plus School District,12345, 5th Grade Literacy , Limited English Proficient ,2015-2016,---,---,---,---
Academics Plus School District,12345, 5th Grade Literacy , Limited English Proficient ,2016-2017,---,---,---,---
Academics Plus School District,12345, 5th Grade Literacy ,Number of recently arrived LEP students not assessed in 5th Grade Literacy ,2014-2015,,---,---,
Academics Plus School District,12345, 5th Grade Literacy ,Number of recently arrived LEP students not assessed in 5th Grade Literacy ,2015-2016,,,,
Academics Plus School District,12345, 5th Grade Literacy ,Number of recently arrived LEP students not assessed in 5th Grade Literacy ,2016-2017,,,,
Academics Plus School District,12345, 5th Grade Literacy , Female ,2014-2015,0.00,37.5,53.13,9.38
Academics Plus School District,12345, 5th Grade Literacy , Female ,2015-2016,9.09,30.30,24.24,36.36
Academics Plus School District,12345, 5th Grade Literacy , Female ,2016-2017,56.95,5.41,27.03,8.11
Academics Plus School District,12345, 5th Grade Literacy , Male ,2014-2015,5.88,52.94,38.24,2.94
Academics Plus School District,12345, 5th Grade Literacy , Male ,2015-2016,20.00,15.00,25.00,40.00
Academics Plus School District,12345, 5th Grade Literacy , Male ,2016-2017,44.34,15.00,35.00,23.33
Academics Plus School District,12345, 5th Grade Literacy , Migrant ,2014-2015,---,---,---,---
Academics Plus School District,12345, 5th Grade Literacy , Migrant ,2015-2016,---,---,---,---
Academics Plus School District,12345, 5th Grade Literacy , Migrant ,2016-2017,---,---,---,---
Academics Plus School District,12345, 5th Grade Math , All Students Percentage of Students ,2014-2015,6.06,57.58,31.82,4.55
Academics Plus School District,12345, 5th Grade Math , All Students Percentage of Students ,2015-2016,4.11,32.88,49.32,13.70
Academics Plus School District,12345, 5th Grade Math , All Students Percentage of Students ,2016-2017,48.57,5.15,29.90,47.42
Academics Plus School District,12345, 5th Grade Math , All Students Number of Students ,2014-2015,,,,
Academics Plus School District,12345, 5th Grade Math , All Students Number of Students ,2015-2016,,,,
Academics Plus School District,12345, 5th Grade Math , All Students Number of Students ,2016-2017,,5,29,46
Academics Plus School District,12345, 5th Grade Math , TAGG ,2014-2015,20.00,55,20.00,5.00
Academics Plus School District,12345, 5th Grade Math , TAGG ,2015-2016,3.57,39.29,50.00,7.14
Academics Plus School District,12345, 5th Grade Math , TAGG ,2016-2017,39.02,16.00,60.00,20.00
Academics Plus School District,12345, 5th Grade Math , African American ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 5th Grade Math , African American ,2015-2016,0.00,50.00,50.00,0.00
Academics Plus School District,12345, 5th Grade Math , African American ,2016-2017,28.63,21.43,42.86,28.57
Academics Plus School District,12345, 5th Grade Math , Hispanic ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 5th Grade Math , Hispanic ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 5th Grade Math , Hispanic ,2016-2017,43.24,RV,RV,RV
Academics Plus School District,12345, 5th Grade Math , Caucasian ,2014-2015,3.92,56.870000000000005,35.29,3.92
Academics Plus School District,12345, 5th Grade Math , Caucasian ,2015-2016,5.66,32.08,45.28,16.98
Academics Plus School District,12345, 5th Grade Math , Caucasian ,2016-2017,55.75,2.78,25.00,55.56
Academics Plus School District,12345, 5th Grade Math , Economically Disadvantaged ,2014-2015,13.33,60,26.67,0.00
Academics Plus School District,12345, 5th Grade Math , Economically Disadvantaged ,2015-2016,4.76,38.10,52.38,4.76
Academics Plus School District,12345, 5th Grade Math , Economically Disadvantaged ,2016-2017,39.61,11.11,55.56,27.78
Academics Plus School District,12345, 5th Grade Math , Students with Disabilities ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 5th Grade Math , Students with Disabilities ,2015-2016,0.00,54.55,36.36,9.09
Academics Plus School District,12345, 5th Grade Math , Students with Disabilities ,2016-2017,18.03,27.27,72.73,0.00
Academics Plus School District,12345, 5th Grade Math , Limited English Proficient ,2014-2015,---,---,---,---
Academics Plus School District,12345, 5th Grade Math , Limited English Proficient ,2015-2016,---,---,---,---
Academics Plus School District,12345, 5th Grade Math , Limited English Proficient ,2016-2017,---,---,---,---
Academics Plus School District,12345, 5th Grade Math , Female ,2014-2015,3.13,53.13,37.50,6.25
Academics Plus School District,12345, 5th Grade Math , Female ,2015-2016,6.06,36.36,51.52,6.06
Academics Plus School District,12345, 5th Grade Math , Female ,2016-2017,50.23,5.41,27.03,37.84
Academics Plus School District,12345, 5th Grade Math , Male ,2014-2015,8.82,61.769999999999996,26.47,2.94
Academics Plus School District,12345, 5th Grade Math , Male ,2015-2016,2.50,30.00,47.50,20.00
Academics Plus School District,12345, 5th Grade Math , Male ,2016-2017,47.01,5.00,31.67,53.33
Academics Plus School District,12345, 5th Grade Math , Migrant ,2014-2015,---,---,---,---
Academics Plus School District,12345, 5th Grade Math , Migrant ,2015-2016,---,---,---,---
Academics Plus School District,12345, 5th Grade Math , Migrant ,2016-2017,---,---,---,---
Academics Plus School District,12345, 6th Grade Literacy , All Students Percentage of Students ,2014-2015,10.29,55.879999999999995,27.94,5.88
Academics Plus School District,12345, 6th Grade Literacy , All Students Percentage of Students ,2015-2016,12.16,22.97,24.32,40.54
Academics Plus School District,12345, 6th Grade Literacy , All Students Percentage of Students ,2016-2017,57.21,14.89,26.60,20.21
Academics Plus School District,12345, 6th Grade Literacy , All Students Number of Students ,2014-2015,,,,
Academics Plus School District,12345, 6th Grade Literacy , All Students Number of Students ,2015-2016,,,,
Academics Plus School District,12345, 6th Grade Literacy , All Students Number of Students ,2016-2017,,14,25,19
Academics Plus School District,12345, 6th Grade Literacy , TAGG ,2014-2015,25.00,75,0.00,0.00
Academics Plus School District,12345, 6th Grade Literacy , TAGG ,2015-2016,25.00,31.25,25.00,18.75
Academics Plus School District,12345, 6th Grade Literacy , TAGG ,2016-2017,46.94,30.00,27.50,20.00
Academics Plus School District,12345, 6th Grade Literacy , African American ,2014-2015,0.00,81.82,18.18,0.00
Academics Plus School District,12345, 6th Grade Literacy , African American ,2015-2016,16.67,33.33,25.00,25.00
Academics Plus School District,12345, 6th Grade Literacy , African American ,2016-2017,36.39,25.00,45.00,15.00
Academics Plus School District,12345, 6th Grade Literacy , Hispanic ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 6th Grade Literacy , Hispanic ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 6th Grade Literacy , Hispanic ,2016-2017,52.44,RV,RV,RV
Academics Plus School District,12345, 6th Grade Literacy , Caucasian ,2014-2015,12.24,48.980000000000004,30.61,8.16
Academics Plus School District,12345, 6th Grade Literacy , Caucasian ,2015-2016,11.32,24.53,20.75,43.40
Academics Plus School District,12345, 6th Grade Literacy , Caucasian ,2016-2017,64.35,13.56,25.42,20.34
Academics Plus School District,12345, 6th Grade Literacy , Economically Disadvantaged ,2014-2015,21.43,78.57,0.00,0.00
Academics Plus School District,12345, 6th Grade Literacy , Economically Disadvantaged ,2015-2016,18.18,27.27,27.27,27.27
Academics Plus School District,12345, 6th Grade Literacy , Economically Disadvantaged ,2016-2017,47.89,27.27,27.27,18.18
Academics Plus School District,12345, 6th Grade Literacy , Students with Disabilities ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 6th Grade Literacy , Students with Disabilities ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 6th Grade Literacy , Students with Disabilities ,2016-2017,15.75,66.67,16.67,16.67
Academics Plus School District,12345, 6th Grade Literacy , Limited English Proficient ,2014-2015,---,---,---,---
Academics Plus School District,12345, 6th Grade Literacy , Limited English Proficient ,2015-2016,---,---,---,---
Academics Plus School District,12345, 6th Grade Literacy , Limited English Proficient ,2016-2017,---,---,---,---
Academics Plus School District,12345, 6th Grade Literacy ,Number of recently arrived LEP students not assessed in 6th Grade Literacy ,2014-2015,,---,---,
Academics Plus School District,12345, 6th Grade Literacy ,Number of recently arrived LEP students not assessed in 6th Grade Literacy ,2015-2016,,,,
Academics Plus School District,12345, 6th Grade Literacy ,Number of recently arrived LEP students not assessed in 6th Grade Literacy ,2016-2017,,,,
Academics Plus School District,12345, 6th Grade Literacy , Female ,2014-2015,6.67,43.34,36.67,13.33
Academics Plus School District,12345, 6th Grade Literacy , Female ,2015-2016,8.33,11.11,16.67,63.89
Academics Plus School District,12345, 6th Grade Literacy , Female ,2016-2017,65.22,4.44,33.33,24.44
Academics Plus School District,12345, 6th Grade Literacy , Male ,2014-2015,13.16,65.78999999999999,21.05,0.00
Academics Plus School District,12345, 6th Grade Literacy , Male ,2015-2016,15.79,34.21,31.58,18.42
Academics Plus School District,12345, 6th Grade Literacy , Male ,2016-2017,49.49,24.49,20.41,16.33
Academics Plus School District,12345, 6th Grade Literacy , Migrant ,2014-2015,---,---,---,---
Academics Plus School District,12345, 6th Grade Literacy , Migrant ,2015-2016,---,---,---,---
Academics Plus School District,12345, 6th Grade Literacy , Migrant ,2016-2017,---,---,---,---
Academics Plus School District,12345, 6th Grade Math , All Students Percentage of Students ,2014-2015,10.45,49.25,38.81,1.49
Academics Plus School District,12345, 6th Grade Math , All Students Percentage of Students ,2015-2016,6.76,28.38,32.43,32.43
Academics Plus School District,12345, 6th Grade Math , All Students Percentage of Students ,2016-2017,55.41,6.38,39.36,36.17
Academics Plus School District,12345, 6th Grade Math , All Students Number of Students ,2014-2015,,,,
Academics Plus School District,12345, 6th Grade Math , All Students Number of Students ,2015-2016,,,,
Academics Plus School District,12345, 6th Grade Math , All Students Number of Students ,2016-2017,,6,37,34
Academics Plus School District,12345, 6th Grade Math , TAGG ,2014-2015,25.00,65,10.00,0.00
Academics Plus School District,12345, 6th Grade Math , TAGG ,2015-2016,12.50,43.75,12.50,31.25
Academics Plus School District,12345, 6th Grade Math , TAGG ,2016-2017,46.89,10.00,50.00,32.50
Academics Plus School District,12345, 6th Grade Math , African American ,2014-2015,18.18,63.63,18.18,0.00
Academics Plus School District,12345, 6th Grade Math , African American ,2015-2016,8.33,50.00,25.00,16.67
Academics Plus School District,12345, 6th Grade Math , African American ,2016-2017,34.41,15.00,55.00,30.00
Academics Plus School District,12345, 6th Grade Math , Hispanic ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 6th Grade Math , Hispanic ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 6th Grade Math , Hispanic ,2016-2017,51.88,RV,RV,RV
